date,start,end,11WD2ZOL50001274
1012020,00:00,01:00,0
1012020,01:00,02:00,0
1012020,02:00,03:00,0
1012020,03:00,04:00,0
1012020,04:00,05:00,0
1012020,05:00,06:00,0
1012020,06:00,07:00,0
1012020,07:00,08:00,0
1012020,08:00,09:00,0
1012020,09:00,10:00,0
1012020,10:00,11:00,0
1012020,11:00,12:00,0
1012020,12:00,13:00,0
1012020,13:00,14:00,0
1012020,14:00,15:00,0
1012020,15:00,16:00,0
1012020,16:00,17:00,0
1012020,17:00,18:00,0
1012020,18:00,19:00,0
1012020,19:00,20:00,0
1012020,20:00,21:00,0
1012020,21:00,22:00,0
1012020,22:00,23:00,0
1012020,23:00,00:00,0
2012020,00:00,01:00,0
2012020,01:00,02:00,0
2012020,02:00,03:00,0
2012020,03:00,04:00,0
2012020,04:00,05:00,0
2012020,05:00,06:00,0
2012020,06:00,07:00,59
2012020,07:00,08:00,125
2012020,08:00,09:00,271
2012020,09:00,10:00,448
2012020,10:00,11:00,448
2012020,11:00,12:00,448
2012020,12:00,13:00,449
2012020,13:00,14:00,449
2012020,14:00,15:00,449
2012020,15:00,16:00,450
2012020,16:00,17:00,449
2012020,17:00,18:00,450
2012020,18:00,19:00,450
2012020,19:00,20:00,448
2012020,20:00,21:00,275
2012020,21:00,22:00,117
2012020,22:00,23:00,115
2012020,23:00,00:00,120
3012020,00:00,01:00,196
3012020,01:00,02:00,122
3012020,02:00,03:00,115
3012020,03:00,04:00,115
3012020,04:00,05:00,115
3012020,05:00,06:00,115
3012020,06:00,07:00,115
3012020,07:00,08:00,115
3012020,08:00,09:00,115
3012020,09:00,10:00,115
3012020,10:00,11:00,115
3012020,11:00,12:00,115
3012020,12:00,13:00,115
3012020,13:00,14:00,115
3012020,14:00,15:00,115
3012020,15:00,16:00,115
3012020,16:00,17:00,115
3012020,17:00,18:00,114
3012020,18:00,19:00,115
3012020,19:00,20:00,115
3012020,20:00,21:00,115
3012020,21:00,22:00,115
3012020,22:00,23:00,115
3012020,23:00,00:00,113
4012020,00:00,01:00,5
4012020,01:00,02:00,0
4012020,02:00,03:00,0
4012020,03:00,04:00,0
4012020,04:00,05:00,0
4012020,05:00,06:00,0
4012020,06:00,07:00,0
4012020,07:00,08:00,0
4012020,08:00,09:00,0
4012020,09:00,10:00,0
4012020,10:00,11:00,0
4012020,11:00,12:00,0
4012020,12:00,13:00,0
4012020,13:00,14:00,0
4012020,14:00,15:00,0
4012020,15:00,16:00,0
4012020,16:00,17:00,0
4012020,17:00,18:00,0
4012020,18:00,19:00,0
4012020,19:00,20:00,0
4012020,20:00,21:00,0
4012020,21:00,22:00,0
4012020,22:00,23:00,0
4012020,23:00,00:00,0
5012020,00:00,01:00,0
5012020,01:00,02:00,0
5012020,02:00,03:00,0
5012020,03:00,04:00,0
5012020,04:00,05:00,0
5012020,05:00,06:00,0
5012020,06:00,07:00,0
5012020,07:00,08:00,0
5012020,08:00,09:00,0
5012020,09:00,10:00,0
5012020,10:00,11:00,0
5012020,11:00,12:00,0
5012020,12:00,13:00,0
