date,start,end,11WD2ING3000058X,11WD2ING4000059N
01.01.2021,00:00,01:00,0.0,0.0
01.01.2021,01:00,02:00,0.0,0.0
01.01.2021,02:00,03:00,0.0,0.0
01.01.2021,03:00,04:00,0.0,0.0
01.01.2021,04:00,05:00,0.0,0.0
01.01.2021,05:00,06:00,0.0,0.0
01.01.2021,06:00,07:00,0.0,0.0
01.01.2021,07:00,08:00,0.0,0.0
01.01.2021,08:00,09:00,0.0,0.0
01.01.2021,09:00,10:00,0.0,0.0
01.01.2021,10:00,11:00,0.0,0.0
01.01.2021,11:00,12:00,0.0,0.0
01.01.2021,12:00,13:00,0.0,0.0
01.01.2021,13:00,14:00,0.0,0.0
01.01.2021,14:00,15:00,0.0,0.0
01.01.2021,15:00,16:00,0.0,0.0
01.01.2021,16:00,17:00,0.0,0.0
01.01.2021,17:00,18:00,0.0,0.0
01.01.2021,18:00,19:00,0.0,0.0
01.01.2021,19:00,20:00,0.0,0.0
01.01.2021,20:00,21:00,0.0,0.0
01.01.2021,21:00,22:00,0.0,0.0
01.01.2021,22:00,23:00,0.0,0.0
01.01.2021,23:00,00:00,0.0,0.0
02.01.2021,00:00,01:00,0.0,0.0
02.01.2021,01:00,02:00,0.0,0.0
02.01.2021,02:00,03:00,0.0,0.0
02.01.2021,03:00,04:00,0.0,0.0
02.01.2021,04:00,05:00,0.0,0.0
02.01.2021,05:00,06:00,0.0,0.0
02.01.2021,06:00,07:00,0.0,0.0
02.01.2021,07:00,08:00,0.0,0.0
02.01.2021,08:00,09:00,0.0,0.0
02.01.2021,09:00,10:00,0.0,0.0
02.01.2021,10:00,11:00,0.0,0.0
02.01.2021,11:00,12:00,0.0,0.0
02.01.2021,12:00,13:00,0.0,0.0
02.01.2021,13:00,14:00,0.0,0.0
02.01.2021,14:00,15:00,0.0,0.0
02.01.2021,15:00,16:00,0.0,0.0
02.01.2021,16:00,17:00,0.0,0.0
02.01.2021,17:00,18:00,0.0,0.0
02.01.2021,18:00,19:00,0.0,0.0
02.01.2021,19:00,20:00,0.0,0.0
02.01.2021,20:00,21:00,0.0,0.0
02.01.2021,21:00,22:00,0.0,0.0
02.01.2021,22:00,23:00,0.0,0.0
02.01.2021,23:00,00:00,0.0,0.0
03.01.2021,00:00,01:00,0.0,0.0
03.01.2021,01:00,02:00,0.0,0.0
03.01.2021,02:00,03:00,0.0,0.0
03.01.2021,03:00,04:00,0.0,0.0
