date,start,end,11WD4RDK42G4---O,11WD4RDK71C7---G,11WD4RDK81C8---3
1012018,00:00,01:00,,0,0
1012018,01:00,02:00,,0,0
1012018,02:00,03:00,,0,0
1012018,03:00,04:00,,0,0
1012018,04:00,05:00,,0,0
1012018,05:00,06:00,,0,0
1012018,06:00,07:00,,0,0
1012018,07:00,08:00,,0,0
1012018,08:00,09:00,,0,0
1012018,09:00,10:00,,0,0
1012018,10:00,11:00,,0,0
1012018,11:00,12:00,,0,0
1012018,12:00,13:00,,0,0
1012018,13:00,14:00,,0,0
1012018,14:00,15:00,,0,0
1012018,15:00,16:00,,0,0
1012018,16:00,17:00,,0,0
1012018,17:00,18:00,,0,0
1012018,18:00,19:00,,0,0
1012018,19:00,20:00,,0,0
1012018,20:00,21:00,,0,0
1012018,21:00,22:00,,0,0
1012018,22:00,23:00,,0,0
1012018,23:00,00:00,,0,0
2012018,00:00,01:00,,0,0
2012018,01:00,02:00,,0,0
2012018,02:00,03:00,,0,0
2012018,03:00,04:00,,0,0
2012018,04:00,05:00,,0,0
2012018,05:00,06:00,,0,0
2012018,06:00,07:00,,0,0
2012018,07:00,08:00,,0,0
2012018,08:00,09:00,,0,0
2012018,09:00,10:00,,0,0
2012018,10:00,11:00,,0,0
2012018,11:00,12:00,,0,0
2012018,12:00,13:00,,0,0
2012018,13:00,14:00,,0,0
2012018,14:00,15:00,,0,0
2012018,15:00,16:00,,0,0
2012018,16:00,17:00,,0,0
2012018,17:00,18:00,,0,0
2012018,18:00,19:00,,0,0
2012018,19:00,20:00,,0,0
2012018,20:00,21:00,,0,0
2012018,21:00,22:00,,0,0
2012018,22:00,23:00,,0,0
2012018,23:00,00:00,,0,0
3012018,00:00,01:00,,0,0
3012018,01:00,02:00,,0,0
3012018,02:00,03:00,,0,0
3012018,03:00,04:00,,0,0
3012018,04:00,05:00,,0,0
3012018,05:00,06:00,,0,0
3012018,06:00,07:00,,0,0
3012018,07:00,08:00,,0,0
3012018,08:00,09:00,,0,0
3012018,09:00,10:00,,0,0
3012018,10:00,11:00,,0,0
3012018,11:00,12:00,,0,0
3012018,12:00,13:00,,0,0
3012018,13:00,14:00,,0,0
3012018,14:00,15:00,,0,0
3012018,15:00,16:00,,0,0
3012018,16:00,17:00,,0,0
3012018,17:00,18:00,,0,0
3012018,18:00,19:00,,0,0
3012018,19:00,20:00,,0,0
3012018,20:00,21:00,,0,0
3012018,21:00,22:00,,0,0
3012018,22:00,23:00,,0,0
3012018,23:00,00:00,,0,0
4012018,00:00,01:00,,0,0
4012018,01:00,02:00,,0,0
4012018,02:00,03:00,,0,7
4012018,03:00,04:00,,0,92
4012018,04:00,05:00,,0,248
4012018,05:00,06:00,,0,339
4012018,06:00,07:00,,0,428
4012018,07:00,08:00,,0,456
4012018,08:00,09:00,,0,529
4012018,09:00,10:00,,0,709
4012018,10:00,11:00,,0,802
4012018,11:00,12:00,,0,802
4012018,12:00,13:00,,0,807
4012018,13:00,14:00,,0,811
4012018,14:00,15:00,,0,811
4012018,15:00,16:00,,0,809
