date,start,end,11WD7EMSL1G-GUD9,11WD7EMSL-G-BLB0,11WD7EMSL-G-BLCZ
1012019,00:00,01:00,0,0,3
1012019,01:00,02:00,0,0,0
1012019,02:00,03:00,0,0,0
1012019,03:00,04:00,0,0,0
1012019,04:00,05:00,0,0,0
1012019,05:00,06:00,0,0,0
1012019,06:00,07:00,0,0,0
1012019,07:00,08:00,0,0,0
1012019,08:00,09:00,0,0,0
1012019,09:00,10:00,0,0,0
1012019,10:00,11:00,0,0,0
1012019,11:00,12:00,0,0,0
1012019,12:00,13:00,0,0,0
1012019,13:00,14:00,0,0,0
1012019,14:00,15:00,0,0,0
1012019,15:00,16:00,0,0,0
1012019,16:00,17:00,0,0,0
1012019,17:00,18:00,0,0,0
1012019,18:00,19:00,0,0,0
1012019,19:00,20:00,0,0,0
1012019,20:00,21:00,0,0,0
1012019,21:00,22:00,0,0,0
1012019,22:00,23:00,0,0,0
1012019,23:00,00:00,0,0,0
2012019,00:00,01:00,0,0,0
2012019,01:00,02:00,0,0,0
2012019,02:00,03:00,0,0,0
2012019,03:00,04:00,0,0,0
2012019,04:00,05:00,0,0,0
2012019,05:00,06:00,0,0,0
2012019,06:00,07:00,0,0,0
2012019,07:00,08:00,0,0,0
2012019,08:00,09:00,0,0,0
2012019,09:00,10:00,0,0,0
2012019,10:00,11:00,0,0,0
2012019,11:00,12:00,0,0,0
2012019,12:00,13:00,0,0,0
2012019,13:00,14:00,0,0,0
2012019,14:00,15:00,0,0,0
2012019,15:00,16:00,0,0,0
2012019,16:00,17:00,0,0,0
2012019,17:00,18:00,0,0,0
2012019,18:00,19:00,0,0,0
2012019,19:00,20:00,0,0,0
2012019,20:00,21:00,0,0,0
2012019,21:00,22:00,0,0,0
2012019,22:00,23:00,0,0,0
2012019,23:00,00:00,0,0,0
3012019,00:00,01:00,0,0,0
3012019,01:00,02:00,0,0,0
3012019,02:00,03:00,0,0,0
3012019,03:00,04:00,6,0,0
3012019,04:00,05:00,51,0,0
3012019,05:00,06:00,304,0,0
