date,start,end,11WD8BOXB1L---N8,11WD8BOXB1L---P4
1012019,00:00,01:00,173,395
1012019,01:00,02:00,171,438
1012019,02:00,03:00,171,437
1012019,03:00,04:00,172,437
1012019,04:00,05:00,171,441
1012019,05:00,06:00,171,399
1012019,06:00,07:00,172,404
1012019,07:00,08:00,172,401
1012019,08:00,09:00,172,399
1012019,09:00,10:00,170,427
1012019,10:00,11:00,171,426
1012019,11:00,12:00,172,404
1012019,12:00,13:00,172,401
1012019,13:00,14:00,172,405
1012019,14:00,15:00,172,417
1012019,15:00,16:00,173,395
1012019,16:00,17:00,171,380
1012019,17:00,18:00,171,408
1012019,18:00,19:00,169,406
1012019,19:00,20:00,171,408
1012019,20:00,21:00,164,387
1012019,21:00,22:00,174,388
1012019,22:00,23:00,181,385
1012019,23:00,00:00,185,383
2012019,00:00,01:00,175,376
2012019,01:00,02:00,186,378
2012019,02:00,03:00,387,374
2012019,03:00,04:00,445,373
2012019,04:00,05:00,393,386
2012019,05:00,06:00,388,413
2012019,06:00,07:00,404,396
2012019,07:00,08:00,419,420
2012019,08:00,09:00,420,430
2012019,09:00,10:00,475,450
2012019,10:00,11:00,471,460
2012019,11:00,12:00,469,456
2012019,12:00,13:00,457,448
2012019,13:00,14:00,481,472
2012019,14:00,15:00,474,459
2012019,15:00,16:00,472,449
2012019,16:00,17:00,494,468
2012019,17:00,18:00,494,472
2012019,18:00,19:00,494,476
2012019,19:00,20:00,493,479
2012019,20:00,21:00,495,473
2012019,21:00,22:00,498,481
2012019,22:00,23:00,496,483
2012019,23:00,00:00,498,481
3012019,00:00,01:00,495,479
3012019,01:00,02:00,492,483
3012019,02:00,03:00,490,481
3012019,03:00,04:00,493,482
3012019,04:00,05:00,495,483
3012019,05:00,06:00,496,486
3012019,06:00,07:00,496,491
3012019,07:00,08:00,465,464
3012019,08:00,09:00,495,489
3012019,09:00,10:00,494,489
3012019,10:00,11:00,491,489
3012019,11:00,12:00,488,481
3012019,12:00,13:00,490,478
3012019,13:00,14:00,489,474
3012019,14:00,15:00,488,474
3012019,15:00,16:00,489,478
3012019,16:00,17:00,493,477
3012019,17:00,18:00,492,476
3012019,18:00,19:00,492,471
3012019,19:00,20:00,494,471
3012019,20:00,21:00,494,471
3012019,21:00,22:00,491,475
3012019,22:00,23:00,495,485
3012019,23:00,00:00,494,485
4012019,00:00,01:00,492,479
4012019,01:00,02:00,495,485
4012019,02:00,03:00,494,481
4012019,03:00,04:00,493,473
4012019,04:00,05:00,494,474
4012019,05:00,06:00,496,486
4012019,06:00,07:00,495,474
4012019,07:00,08:00,494,481
4012019,08:00,09:00,494,477
4012019,09:00,10:00,493,484
4012019,10:00,11:00,494,483
4012019,11:00,12:00,493,482
4012019,12:00,13:00,493,484
4012019,13:00,14:00,492,483
4012019,14:00,15:00,493,482
4012019,15:00,16:00,493,483
4012019,16:00,17:00,491,482
4012019,17:00,18:00,494,482
4012019,18:00,19:00,495,483
4012019,19:00,20:00,494,485
4012019,20:00,21:00,495,483
4012019,21:00,22:00,491,485
4012019,22:00,23:00,489,490
4012019,23:00,00:00,490,489
5012019,00:00,01:00,439,487
5012019,01:00,02:00,400,434
5012019,02:00,03:00,394,428
5012019,03:00,04:00,393,428
5012019,04:00,05:00,392,427
5012019,05:00,06:00,393,382
5012019,06:00,07:00,393,424
5012019,07:00,08:00,455,477
5012019,08:00,09:00,468,485
5012019,09:00,10:00,466,487
5012019,10:00,11:00,473,487
5012019,11:00,12:00,467,488
5012019,12:00,13:00,470,489
5012019,13:00,14:00,492,490
5012019,14:00,15:00,491,490
5012019,15:00,16:00,494,490
5012019,16:00,17:00,495,490
5012019,17:00,18:00,496,492
5012019,18:00,19:00,496,489
5012019,19:00,20:00,494,490
5012019,20:00,21:00,495,489
5012019,21:00,22:00,494,491
5012019,22:00,23:00,494,491
5012019,23:00,00:00,496,491
6012019,00:00,01:00,495,490
6012019,01:00,02:00,496,489
6012019,02:00,03:00,492,489
6012019,03:00,04:00,496,490
6012019,04:00,05:00,494,491
6012019,05:00,06:00,496,490
6012019,06:00,07:00,493,491
6012019,07:00,08:00,495,490
6012019,08:00,09:00,494,493
6012019,09:00,10:00,494,492
6012019,10:00,11:00,493,493
6012019,11:00,12:00,495,492
6012019,12:00,13:00,493,493
6012019,13:00,14:00,495,494
6012019,14:00,15:00,495,494
6012019,15:00,16:00,494,494
6012019,16:00,17:00,494,495
6012019,17:00,18:00,495,494
6012019,18:00,19:00,494,494
6012019,19:00,20:00,496,493
6012019,20:00,21:00,495,494
6012019,21:00,22:00,496,495
6012019,22:00,23:00,497,494
6012019,23:00,00:00,490,496
7012019,00:00,01:00,490,488
7012019,01:00,02:00,492,491
7012019,02:00,03:00,493,494
7012019,03:00,04:00,496,496
7012019,04:00,05:00,491,494
7012019,05:00,06:00,493,490
7012019,06:00,07:00,495,494
7012019,07:00,08:00,495,496
7012019,08:00,09:00,495,495
7012019,09:00,10:00,493,496
7012019,10:00,11:00,493,494
7012019,11:00,12:00,494,490
7012019,12:00,13:00,493,490
7012019,13:00,14:00,495,491
7012019,14:00,15:00,494,493
7012019,15:00,16:00,495,494
7012019,16:00,17:00,493,496
7012019,17:00,18:00,493,495
7012019,18:00,19:00,492,493
7012019,19:00,20:00,442,469
7012019,20:00,21:00,403,442
7012019,21:00,22:00,423,428
7012019,22:00,23:00,423,425
7012019,23:00,00:00,424,427
8012019,00:00,01:00,392,391
8012019,01:00,02:00,393,390
8012019,02:00,03:00,392,391
8012019,03:00,04:00,389,391
8012019,04:00,05:00,389,390
8012019,05:00,06:00,388,390
8012019,06:00,07:00,387,391
8012019,07:00,08:00,386,388
8012019,08:00,09:00,385,389
8012019,09:00,10:00,386,388
8012019,10:00,11:00,387,390
8012019,11:00,12:00,388,390
8012019,12:00,13:00,387,390
8012019,13:00,14:00,387,388
8012019,14:00,15:00,384,383
8012019,15:00,16:00,387,382
8012019,16:00,17:00,385,381
8012019,17:00,18:00,386,384
8012019,18:00,19:00,387,387
8012019,19:00,20:00,388,420
8012019,20:00,21:00,385,479
8012019,21:00,22:00,386,487
8012019,22:00,23:00,385,439
8012019,23:00,00:00,384,386
9012019,00:00,01:00,386,396
9012019,01:00,02:00,383,399
9012019,02:00,03:00,382,397
9012019,03:00,04:00,383,397
9012019,04:00,05:00,403,459
9012019,05:00,06:00,424,489
9012019,06:00,07:00,418,454
9012019,07:00,08:00,277,482
9012019,08:00,09:00,189,483
9012019,09:00,10:00,185,483
9012019,10:00,11:00,175,488
9012019,11:00,12:00,318,484
9012019,12:00,13:00,438,482
9012019,13:00,14:00,479,477
9012019,14:00,15:00,482,474
9012019,15:00,16:00,483,480
9012019,16:00,17:00,483,474
9012019,17:00,18:00,486,481
9012019,18:00,19:00,484,478
9012019,19:00,20:00,491,477
9012019,20:00,21:00,489,479
9012019,21:00,22:00,491,478
9012019,22:00,23:00,492,478
9012019,23:00,00:00,491,476
10012019,00:00,01:00,494,473
10012019,01:00,02:00,496,476
10012019,02:00,03:00,491,479
10012019,03:00,04:00,488,475
10012019,04:00,05:00,489,476
10012019,05:00,06:00,492,482
10012019,06:00,07:00,490,490
10012019,07:00,08:00,490,487
10012019,08:00,09:00,493,472
10012019,09:00,10:00,494,479
10012019,10:00,11:00,494,492
10012019,11:00,12:00,494,482
10012019,12:00,13:00,495,482
10012019,13:00,14:00,493,478
10012019,14:00,15:00,493,473
10012019,15:00,16:00,494,471
10012019,16:00,17:00,494,473
10012019,17:00,18:00,493,478
10012019,18:00,19:00,494,480
10012019,19:00,20:00,495,480
10012019,20:00,21:00,495,484
10012019,21:00,22:00,497,477
10012019,22:00,23:00,497,474
10012019,23:00,00:00,496,478
11012019,00:00,01:00,498,483
11012019,01:00,02:00,493,481
11012019,02:00,03:00,496,477
11012019,03:00,04:00,494,472
11012019,04:00,05:00,495,473
11012019,05:00,06:00,494,472
11012019,06:00,07:00,494,470
11012019,07:00,08:00,496,469
11012019,08:00,09:00,496,473
11012019,09:00,10:00,495,452
11012019,10:00,11:00,494,449
11012019,11:00,12:00,493,447
11012019,12:00,13:00,491,471
11012019,13:00,14:00,495,476
11012019,14:00,15:00,493,472
11012019,15:00,16:00,493,475
11012019,16:00,17:00,494,481
11012019,17:00,18:00,490,473
11012019,18:00,19:00,491,477
11012019,19:00,20:00,492,471
11012019,20:00,21:00,495,473
11012019,21:00,22:00,494,473
11012019,22:00,23:00,491,478
11012019,23:00,00:00,493,478
12012019,00:00,01:00,496,491
12012019,01:00,02:00,495,493
12012019,02:00,03:00,495,486
12012019,03:00,04:00,494,472
12012019,04:00,05:00,492,476
12012019,05:00,06:00,489,474
12012019,06:00,07:00,494,469
12012019,07:00,08:00,494,469
12012019,08:00,09:00,492,472
12012019,09:00,10:00,492,469
12012019,10:00,11:00,494,469
12012019,11:00,12:00,493,469
12012019,12:00,13:00,494,472
12012019,13:00,14:00,495,473
12012019,14:00,15:00,496,469
12012019,15:00,16:00,492,474
12012019,16:00,17:00,482,471
12012019,17:00,18:00,484,478
12012019,18:00,19:00,485,473
12012019,19:00,20:00,485,496
12012019,20:00,21:00,476,478
12012019,21:00,22:00,474,471
12012019,22:00,23:00,482,407
12012019,23:00,00:00,460,192
13012019,00:00,01:00,407,24
13012019,01:00,02:00,396,22
13012019,02:00,03:00,387,22
13012019,03:00,04:00,452,22
13012019,04:00,05:00,422,22
13012019,05:00,06:00,411,22
13012019,06:00,07:00,413,22
13012019,07:00,08:00,403,22
13012019,08:00,09:00,399,22
13012019,09:00,10:00,424,22
13012019,10:00,11:00,424,22
13012019,11:00,12:00,474,22
13012019,12:00,13:00,479,22
13012019,13:00,14:00,404,22
13012019,14:00,15:00,397,22
13012019,15:00,16:00,397,22
13012019,16:00,17:00,394,22
13012019,17:00,18:00,393,22
13012019,18:00,19:00,393,22
13012019,19:00,20:00,393,22
13012019,20:00,21:00,415,22
13012019,21:00,22:00,426,22
13012019,22:00,23:00,426,22
13012019,23:00,00:00,420,22
14012019,00:00,01:00,435,22
14012019,01:00,02:00,437,22
14012019,02:00,03:00,437,22
14012019,03:00,04:00,437,22
14012019,04:00,05:00,435,22
14012019,05:00,06:00,439,22
14012019,06:00,07:00,445,22
14012019,07:00,08:00,419,22
14012019,08:00,09:00,436,22
14012019,09:00,10:00,440,22
14012019,10:00,11:00,419,22
14012019,11:00,12:00,411,22
14012019,12:00,13:00,426,22
14012019,13:00,14:00,441,22
14012019,14:00,15:00,440,22
14012019,15:00,16:00,453,95
14012019,16:00,17:00,453,152
14012019,17:00,18:00,471,179
14012019,18:00,19:00,448,190
14012019,19:00,20:00,446,177
14012019,20:00,21:00,475,179
14012019,21:00,22:00,481,402
14012019,22:00,23:00,483,440
14012019,23:00,00:00,451,456
15012019,00:00,01:00,484,486
15012019,01:00,02:00,450,492
15012019,02:00,03:00,451,457
15012019,03:00,04:00,435,424
15012019,04:00,05:00,398,396
15012019,05:00,06:00,394,432
15012019,06:00,07:00,389,401
15012019,07:00,08:00,391,430
15012019,08:00,09:00,424,485
15012019,09:00,10:00,453,470
15012019,10:00,11:00,487,495
15012019,11:00,12:00,487,492
15012019,12:00,13:00,488,496
15012019,13:00,14:00,489,497
15012019,14:00,15:00,467,494
15012019,15:00,16:00,400,491
15012019,16:00,17:00,417,469
15012019,17:00,18:00,388,403
15012019,18:00,19:00,388,397
15012019,19:00,20:00,389,410
15012019,20:00,21:00,388,391
15012019,21:00,22:00,387,392
15012019,22:00,23:00,389,391
15012019,23:00,00:00,391,397
16012019,00:00,01:00,448,482
16012019,01:00,02:00,428,494
16012019,02:00,03:00,428,495
16012019,03:00,04:00,427,492
16012019,04:00,05:00,453,490
16012019,05:00,06:00,483,493
16012019,06:00,07:00,484,495
16012019,07:00,08:00,489,495
16012019,08:00,09:00,493,496
16012019,09:00,10:00,497,495
16012019,10:00,11:00,456,495
16012019,11:00,12:00,472,491
16012019,12:00,13:00,495,495
16012019,13:00,14:00,493,496
16012019,14:00,15:00,475,476
16012019,15:00,16:00,493,495
16012019,16:00,17:00,490,495
16012019,17:00,18:00,492,495
16012019,18:00,19:00,484,493
16012019,19:00,20:00,487,494
16012019,20:00,21:00,480,490
16012019,21:00,22:00,443,489
16012019,22:00,23:00,470,489
16012019,23:00,00:00,440,489
17012019,00:00,01:00,425,492
17012019,01:00,02:00,429,493
17012019,02:00,03:00,421,495
17012019,03:00,04:00,413,496
17012019,04:00,05:00,422,496
17012019,05:00,06:00,462,495
17012019,06:00,07:00,494,495
17012019,07:00,08:00,493,494
17012019,08:00,09:00,495,495
17012019,09:00,10:00,495,495
17012019,10:00,11:00,495,495
17012019,11:00,12:00,493,493
17012019,12:00,13:00,493,494
17012019,13:00,14:00,493,496
17012019,14:00,15:00,492,494
17012019,15:00,16:00,493,495
17012019,16:00,17:00,494,481
17012019,17:00,18:00,490,475
17012019,18:00,19:00,494,465
17012019,19:00,20:00,497,471
17012019,20:00,21:00,494,468
17012019,21:00,22:00,493,473
17012019,22:00,23:00,492,471
17012019,23:00,00:00,496,468
18012019,00:00,01:00,494,470
18012019,01:00,02:00,494,471
18012019,02:00,03:00,493,472
18012019,03:00,04:00,495,473
18012019,04:00,05:00,497,471
18012019,05:00,06:00,496,474
18012019,06:00,07:00,489,471
18012019,07:00,08:00,492,475
18012019,08:00,09:00,497,472
18012019,09:00,10:00,495,472
18012019,10:00,11:00,496,465
18012019,11:00,12:00,496,468
18012019,12:00,13:00,495,467
18012019,13:00,14:00,496,476
18012019,14:00,15:00,494,472
18012019,15:00,16:00,495,475
18012019,16:00,17:00,495,467
18012019,17:00,18:00,494,466
18012019,18:00,19:00,495,469
18012019,19:00,20:00,496,461
18012019,20:00,21:00,494,470
18012019,21:00,22:00,494,471
18012019,22:00,23:00,494,467
18012019,23:00,00:00,496,469
19012019,00:00,01:00,494,471
19012019,01:00,02:00,495,473
19012019,02:00,03:00,495,468
19012019,03:00,04:00,495,467
19012019,04:00,05:00,493,451
19012019,05:00,06:00,492,190
19012019,06:00,07:00,494,160
19012019,07:00,08:00,494,163
19012019,08:00,09:00,496,177
19012019,09:00,10:00,494,184
19012019,10:00,11:00,494,173
19012019,11:00,12:00,495,175
19012019,12:00,13:00,494,175
19012019,13:00,14:00,492,176
19012019,14:00,15:00,490,183
19012019,15:00,16:00,495,182
19012019,16:00,17:00,490,182
19012019,17:00,18:00,492,185
19012019,18:00,19:00,490,188
19012019,19:00,20:00,495,184
19012019,20:00,21:00,495,179
19012019,21:00,22:00,496,176
19012019,22:00,23:00,495,182
19012019,23:00,00:00,493,184
20012019,00:00,01:00,491,183
20012019,01:00,02:00,492,183
20012019,02:00,03:00,493,183
20012019,03:00,04:00,495,182
20012019,04:00,05:00,494,184
20012019,05:00,06:00,494,199
20012019,06:00,07:00,492,195
20012019,07:00,08:00,492,182
20012019,08:00,09:00,495,184
20012019,09:00,10:00,496,185
20012019,10:00,11:00,492,185
20012019,11:00,12:00,488,181
20012019,12:00,13:00,481,185
20012019,13:00,14:00,496,179
20012019,14:00,15:00,492,182
20012019,15:00,16:00,496,187
20012019,16:00,17:00,495,185
20012019,17:00,18:00,494,182
20012019,18:00,19:00,492,180
20012019,19:00,20:00,489,171
20012019,20:00,21:00,491,169
20012019,21:00,22:00,492,180
20012019,22:00,23:00,493,179
20012019,23:00,00:00,492,177
21012019,00:00,01:00,496,159
21012019,01:00,02:00,497,303
21012019,02:00,03:00,495,423
21012019,03:00,04:00,496,458
21012019,04:00,05:00,495,471
21012019,05:00,06:00,495,471
21012019,06:00,07:00,494,492
21012019,07:00,08:00,496,493
21012019,08:00,09:00,497,492
21012019,09:00,10:00,495,491
21012019,10:00,11:00,493,492
21012019,11:00,12:00,495,495
21012019,12:00,13:00,494,496
21012019,13:00,14:00,496,496
21012019,14:00,15:00,497,495
21012019,15:00,16:00,496,495
21012019,16:00,17:00,495,480
21012019,17:00,18:00,493,469
21012019,18:00,19:00,493,474
21012019,19:00,20:00,495,478
21012019,20:00,21:00,496,466
21012019,21:00,22:00,497,466
21012019,22:00,23:00,495,471
21012019,23:00,00:00,496,468
22012019,00:00,01:00,494,466
22012019,01:00,02:00,494,463
22012019,02:00,03:00,493,468
22012019,03:00,04:00,493,468
22012019,04:00,05:00,491,469
22012019,05:00,06:00,493,469
22012019,06:00,07:00,493,467
22012019,07:00,08:00,494,467
22012019,08:00,09:00,492,469
22012019,09:00,10:00,493,473
22012019,10:00,11:00,491,475
22012019,11:00,12:00,493,475
22012019,12:00,13:00,490,477
22012019,13:00,14:00,493,474
22012019,14:00,15:00,492,466
22012019,15:00,16:00,494,467
22012019,16:00,17:00,496,472
22012019,17:00,18:00,492,467
22012019,18:00,19:00,494,476
22012019,19:00,20:00,493,473
22012019,20:00,21:00,494,474
22012019,21:00,22:00,493,473
22012019,22:00,23:00,495,469
22012019,23:00,00:00,493,464
23012019,00:00,01:00,492,458
23012019,01:00,02:00,493,460
23012019,02:00,03:00,495,464
23012019,03:00,04:00,495,463
23012019,04:00,05:00,492,467
23012019,05:00,06:00,491,464
23012019,06:00,07:00,491,463
23012019,07:00,08:00,490,462
23012019,08:00,09:00,491,456
23012019,09:00,10:00,492,456
23012019,10:00,11:00,494,457
23012019,11:00,12:00,493,474
23012019,12:00,13:00,493,462
23012019,13:00,14:00,494,476
23012019,14:00,15:00,494,473
23012019,15:00,16:00,493,468
23012019,16:00,17:00,492,468
23012019,17:00,18:00,492,466
23012019,18:00,19:00,493,467
23012019,19:00,20:00,496,458
23012019,20:00,21:00,493,460
23012019,21:00,22:00,491,463
23012019,22:00,23:00,492,466
23012019,23:00,00:00,490,470
24012019,00:00,01:00,492,468
24012019,01:00,02:00,493,471
24012019,02:00,03:00,493,465
24012019,03:00,04:00,492,458
24012019,04:00,05:00,493,464
24012019,05:00,06:00,494,488
24012019,06:00,07:00,492,489
24012019,07:00,08:00,494,494
24012019,08:00,09:00,494,493
24012019,09:00,10:00,495,495
24012019,10:00,11:00,495,494
24012019,11:00,12:00,494,492
24012019,12:00,13:00,493,489
24012019,13:00,14:00,493,492
24012019,14:00,15:00,493,493
24012019,15:00,16:00,492,493
24012019,16:00,17:00,492,492
24012019,17:00,18:00,493,493
24012019,18:00,19:00,496,493
24012019,19:00,20:00,495,495
24012019,20:00,21:00,494,493
24012019,21:00,22:00,494,485
24012019,22:00,23:00,495,463
24012019,23:00,00:00,494,482
25012019,00:00,01:00,495,472
25012019,01:00,02:00,493,469
25012019,02:00,03:00,492,471
25012019,03:00,04:00,494,471
25012019,04:00,05:00,494,466
25012019,05:00,06:00,494,468
25012019,06:00,07:00,493,464
25012019,07:00,08:00,495,464
25012019,08:00,09:00,494,472
25012019,09:00,10:00,494,464
25012019,10:00,11:00,494,465
25012019,11:00,12:00,495,469
25012019,12:00,13:00,493,470
25012019,13:00,14:00,494,471
25012019,14:00,15:00,492,473
25012019,15:00,16:00,494,473
25012019,16:00,17:00,491,463
25012019,17:00,18:00,494,455
25012019,18:00,19:00,493,461
25012019,19:00,20:00,493,460
25012019,20:00,21:00,495,467
25012019,21:00,22:00,495,469
25012019,22:00,23:00,495,474
25012019,23:00,00:00,492,484
26012019,00:00,01:00,496,468
26012019,01:00,02:00,495,480
26012019,02:00,03:00,495,472
26012019,03:00,04:00,496,475
26012019,04:00,05:00,495,472
26012019,05:00,06:00,490,475
26012019,06:00,07:00,494,481
26012019,07:00,08:00,496,470
26012019,08:00,09:00,493,472
26012019,09:00,10:00,494,463
26012019,10:00,11:00,493,464
26012019,11:00,12:00,494,473
26012019,12:00,13:00,494,470
26012019,13:00,14:00,493,473
26012019,14:00,15:00,493,476
26012019,15:00,16:00,493,481
26012019,16:00,17:00,493,494
26012019,17:00,18:00,492,492
26012019,18:00,19:00,495,496
26012019,19:00,20:00,494,495
26012019,20:00,21:00,493,496
26012019,21:00,22:00,482,485
26012019,22:00,23:00,494,486
26012019,23:00,00:00,494,481
27012019,00:00,01:00,495,469
27012019,01:00,02:00,493,470
27012019,02:00,03:00,494,476
27012019,03:00,04:00,490,469
27012019,04:00,05:00,485,461
27012019,05:00,06:00,494,469
27012019,06:00,07:00,485,463
27012019,07:00,08:00,494,460
27012019,08:00,09:00,495,474
27012019,09:00,10:00,494,474
27012019,10:00,11:00,494,468
27012019,11:00,12:00,489,470
27012019,12:00,13:00,495,477
27012019,13:00,14:00,473,480
27012019,14:00,15:00,490,454
27012019,15:00,16:00,491,474
27012019,16:00,17:00,491,472
27012019,17:00,18:00,494,474
27012019,18:00,19:00,493,472
27012019,19:00,20:00,493,465
27012019,20:00,21:00,493,472
27012019,21:00,22:00,496,468
27012019,22:00,23:00,495,475
27012019,23:00,00:00,496,470
28012019,00:00,01:00,495,470
28012019,01:00,02:00,496,474
28012019,02:00,03:00,493,477
28012019,03:00,04:00,491,475
28012019,04:00,05:00,494,475
28012019,05:00,06:00,492,483
28012019,06:00,07:00,475,491
28012019,07:00,08:00,494,495
28012019,08:00,09:00,494,496
28012019,09:00,10:00,496,496
28012019,10:00,11:00,496,494
28012019,11:00,12:00,494,496
28012019,12:00,13:00,493,496
28012019,13:00,14:00,492,494
28012019,14:00,15:00,491,494
28012019,15:00,16:00,493,495
28012019,16:00,17:00,493,497
28012019,17:00,18:00,492,480
28012019,18:00,19:00,491,471
28012019,19:00,20:00,492,473
28012019,20:00,21:00,493,473
28012019,21:00,22:00,494,476
28012019,22:00,23:00,494,471
28012019,23:00,00:00,495,473
29012019,00:00,01:00,494,474
29012019,01:00,02:00,492,469
29012019,02:00,03:00,492,472
29012019,03:00,04:00,494,469
29012019,04:00,05:00,488,487
29012019,05:00,06:00,493,494
29012019,06:00,07:00,493,493
29012019,07:00,08:00,496,493
29012019,08:00,09:00,494,495
29012019,09:00,10:00,497,496
29012019,10:00,11:00,495,491
29012019,11:00,12:00,478,466
29012019,12:00,13:00,494,475
29012019,13:00,14:00,496,476
29012019,14:00,15:00,495,475
29012019,15:00,16:00,495,480
29012019,16:00,17:00,494,479
29012019,17:00,18:00,494,480
29012019,18:00,19:00,495,481
29012019,19:00,20:00,496,482
29012019,20:00,21:00,496,474
29012019,21:00,22:00,472,476
29012019,22:00,23:00,492,476
29012019,23:00,00:00,490,476
30012019,00:00,01:00,493,468
30012019,01:00,02:00,490,487
30012019,02:00,03:00,494,487
30012019,03:00,04:00,495,482
30012019,04:00,05:00,485,487
30012019,05:00,06:00,494,481
30012019,06:00,07:00,495,484
30012019,07:00,08:00,491,482
30012019,08:00,09:00,485,477
30012019,09:00,10:00,446,494
30012019,10:00,11:00,492,494
30012019,11:00,12:00,490,492
30012019,12:00,13:00,496,478
30012019,13:00,14:00,492,474
30012019,14:00,15:00,494,474
30012019,15:00,16:00,493,479
30012019,16:00,17:00,492,471
30012019,17:00,18:00,495,489
30012019,18:00,19:00,494,485
30012019,19:00,20:00,495,469
30012019,20:00,21:00,493,475
30012019,21:00,22:00,494,477
30012019,22:00,23:00,492,481
30012019,23:00,00:00,492,475
31012019,00:00,01:00,494,480
31012019,01:00,02:00,493,473
31012019,02:00,03:00,494,478
31012019,03:00,04:00,492,474
31012019,04:00,05:00,495,481
31012019,05:00,06:00,495,492
31012019,06:00,07:00,495,493
31012019,07:00,08:00,495,493
31012019,08:00,09:00,493,492
31012019,09:00,10:00,494,491
31012019,10:00,11:00,494,490
31012019,11:00,12:00,495,490
31012019,12:00,13:00,497,490
31012019,13:00,14:00,495,491
31012019,14:00,15:00,492,491
31012019,15:00,16:00,495,494
31012019,16:00,17:00,494,493
31012019,17:00,18:00,496,480
31012019,18:00,19:00,495,478
31012019,19:00,20:00,495,473
31012019,20:00,21:00,495,474
31012019,21:00,22:00,494,474
31012019,22:00,23:00,492,476
31012019,23:00,00:00,487,477
1022019,00:00,01:00,457,445
1022019,01:00,02:00,459,436
1022019,02:00,03:00,493,468
1022019,03:00,04:00,493,466
1022019,04:00,05:00,493,471
1022019,05:00,06:00,493,467
1022019,06:00,07:00,492,471
1022019,07:00,08:00,489,471
1022019,08:00,09:00,493,477
1022019,09:00,10:00,492,480
1022019,10:00,11:00,493,483
1022019,11:00,12:00,494,469
1022019,12:00,13:00,491,467
1022019,13:00,14:00,492,470
1022019,14:00,15:00,494,477
1022019,15:00,16:00,495,474
1022019,16:00,17:00,494,472
1022019,17:00,18:00,493,474
1022019,18:00,19:00,495,474
1022019,19:00,20:00,496,477
1022019,20:00,21:00,492,479
1022019,21:00,22:00,494,483
1022019,22:00,23:00,494,477
1022019,23:00,00:00,493,478
2022019,00:00,01:00,494,477
2022019,01:00,02:00,491,477
2022019,02:00,03:00,493,480
2022019,03:00,04:00,494,482
2022019,04:00,05:00,493,472
2022019,05:00,06:00,493,474
2022019,06:00,07:00,491,475
2022019,07:00,08:00,492,477
2022019,08:00,09:00,493,477
2022019,09:00,10:00,496,472
2022019,10:00,11:00,496,479
2022019,11:00,12:00,496,487
2022019,12:00,13:00,494,474
2022019,13:00,14:00,495,480
2022019,14:00,15:00,494,480
2022019,15:00,16:00,494,482
2022019,16:00,17:00,493,477
2022019,17:00,18:00,494,477
2022019,18:00,19:00,496,467
2022019,19:00,20:00,493,472
2022019,20:00,21:00,496,470
2022019,21:00,22:00,495,478
2022019,22:00,23:00,495,476
2022019,23:00,00:00,494,476
3022019,00:00,01:00,496,480
3022019,01:00,02:00,496,476
3022019,02:00,03:00,495,481
3022019,03:00,04:00,496,480
3022019,04:00,05:00,495,481
3022019,05:00,06:00,496,485
3022019,06:00,07:00,495,479
3022019,07:00,08:00,494,474
3022019,08:00,09:00,492,476
3022019,09:00,10:00,494,481
3022019,10:00,11:00,494,480
3022019,11:00,12:00,496,478
3022019,12:00,13:00,495,475
3022019,13:00,14:00,497,482
3022019,14:00,15:00,496,473
3022019,15:00,16:00,494,477
3022019,16:00,17:00,490,475
3022019,17:00,18:00,490,475
3022019,18:00,19:00,492,477
3022019,19:00,20:00,489,493
3022019,20:00,21:00,490,489
3022019,21:00,22:00,490,490
3022019,22:00,23:00,488,489
3022019,23:00,00:00,491,490
4022019,00:00,01:00,491,491
4022019,01:00,02:00,490,491
4022019,02:00,03:00,490,481
4022019,03:00,04:00,489,465
4022019,04:00,05:00,489,468
4022019,05:00,06:00,489,466
4022019,06:00,07:00,491,490
4022019,07:00,08:00,492,493
4022019,08:00,09:00,495,495
4022019,09:00,10:00,494,496
4022019,10:00,11:00,494,493
4022019,11:00,12:00,494,493
4022019,12:00,13:00,494,491
4022019,13:00,14:00,495,493
4022019,14:00,15:00,494,493
4022019,15:00,16:00,494,493
4022019,16:00,17:00,492,493
4022019,17:00,18:00,493,493
4022019,18:00,19:00,492,494
4022019,19:00,20:00,493,492
4022019,20:00,21:00,462,463
4022019,21:00,22:00,466,490
4022019,22:00,23:00,492,490
4022019,23:00,00:00,493,492
5022019,00:00,01:00,491,491
5022019,01:00,02:00,491,495
5022019,02:00,03:00,492,493
5022019,03:00,04:00,493,496
5022019,04:00,05:00,492,494
5022019,05:00,06:00,491,494
5022019,06:00,07:00,487,493
5022019,07:00,08:00,493,495
5022019,08:00,09:00,493,495
5022019,09:00,10:00,494,494
5022019,10:00,11:00,494,496
5022019,11:00,12:00,492,493
5022019,12:00,13:00,492,495
5022019,13:00,14:00,494,492
5022019,14:00,15:00,493,494
5022019,15:00,16:00,493,493
5022019,16:00,17:00,493,492
5022019,17:00,18:00,494,491
5022019,18:00,19:00,493,489
5022019,19:00,20:00,494,488
5022019,20:00,21:00,491,490
5022019,21:00,22:00,495,496
5022019,22:00,23:00,488,494
5022019,23:00,00:00,492,495
6022019,00:00,01:00,495,495
6022019,01:00,02:00,494,495
6022019,02:00,03:00,495,496
6022019,03:00,04:00,495,496
6022019,04:00,05:00,495,494
6022019,05:00,06:00,494,494
6022019,06:00,07:00,495,494
6022019,07:00,08:00,494,496
