date,start,end,11WD7VOLK5S-MKV2
1012022,00:00,01:00,0.0
1012022,01:00,02:00,0.0
1012022,02:00,03:00,0.0
1012022,03:00,04:00,0.0
1012022,04:00,05:00,0.0
1012022,05:00,06:00,0.0
1012022,06:00,07:00,0.0
1012022,07:00,08:00,0.0
1012022,08:00,09:00,0.0
1012022,09:00,10:00,0.0
1012022,10:00,11:00,0.0
1012022,11:00,12:00,0.0
1012022,12:00,13:00,0.0
1012022,13:00,14:00,0.0
1012022,14:00,15:00,0.0
1012022,15:00,16:00,0.0
1012022,16:00,17:00,0.0
1012022,17:00,18:00,0.0
1012022,18:00,19:00,0.0
1012022,19:00,20:00,0.0
1012022,20:00,21:00,0.0
1012022,21:00,22:00,0.0
1012022,22:00,23:00,0.0
1012022,23:00,00:00,0.0
2012022,00:00,01:00,0.0
2012022,01:00,02:00,0.0
2012022,02:00,03:00,0.0
2012022,03:00,04:00,0.0
2012022,04:00,05:00,0.0
2012022,05:00,06:00,0.0
2012022,06:00,07:00,0.0
2012022,07:00,08:00,0.0
2012022,08:00,09:00,0.0
2012022,09:00,10:00,0.0
2012022,10:00,11:00,0.0
2012022,11:00,12:00,0.0
2012022,12:00,13:00,0.0
2012022,13:00,14:00,0.0
2012022,14:00,15:00,0.0
2012022,15:00,16:00,0.0
2012022,16:00,17:00,0.0
2012022,17:00,18:00,0.0
2012022,18:00,19:00,0.0
2012022,19:00,20:00,0.0
2012022,20:00,21:00,0.0
2012022,21:00,22:00,0.0
2012022,22:00,23:00,0.0
2012022,23:00,00:00,0.0
3012022,00:00,01:00,0.0
3012022,01:00,02:00,0.0
3012022,02:00,03:00,0.0
3012022,03:00,04:00,0.0
3012022,04:00,05:00,0.0
3012022,05:00,06:00,0.0
3012022,06:00,07:00,0.0
3012022,07:00,08:00,0.0
3012022,08:00,09:00,0.0
3012022,09:00,10:00,0.0
3012022,10:00,11:00,0.0
3012022,11:00,12:00,0.0
3012022,12:00,13:00,0.0
3012022,13:00,14:00,0.0
3012022,14:00,15:00,0.0
3012022,15:00,16:00,0.0
3012022,16:00,17:00,0.0
3012022,17:00,18:00,0.0
3012022,18:00,19:00,0.0
3012022,19:00,20:00,0.0
3012022,20:00,21:00,0.0
3012022,21:00,22:00,0.0
3012022,22:00,23:00,0.0
3012022,23:00,00:00,0.0
4012022,00:00,01:00,0.0
4012022,01:00,02:00,0.0
4012022,02:00,03:00,0.0
4012022,03:00,04:00,0.0
4012022,04:00,05:00,0.0
4012022,05:00,06:00,0.0
4012022,06:00,07:00,0.0
4012022,07:00,08:00,0.0
4012022,08:00,09:00,0.0
4012022,09:00,10:00,0.0
4012022,10:00,11:00,0.0
4012022,11:00,12:00,0.0
4012022,12:00,13:00,0.0
4012022,13:00,14:00,0.0
4012022,14:00,15:00,0.0
4012022,15:00,16:00,0.0
4012022,16:00,17:00,0.0
4012022,17:00,18:00,0.0
4012022,18:00,19:00,0.0
4012022,19:00,20:00,0.0
4012022,20:00,21:00,0.0
4012022,21:00,22:00,0.0
4012022,22:00,23:00,0.0
4012022,23:00,00:00,0.0
5012022,00:00,01:00,0.0
5012022,01:00,02:00,0.0
5012022,02:00,03:00,0.0
5012022,03:00,04:00,0.0
5012022,04:00,05:00,0.0
5012022,05:00,06:00,0.0
5012022,06:00,07:00,0.0
5012022,07:00,08:00,0.0
5012022,08:00,09:00,0.0
5012022,09:00,10:00,0.0
5012022,10:00,11:00,0.0
5012022,11:00,12:00,0.0
5012022,12:00,13:00,0.0
5012022,13:00,14:00,0.0
5012022,14:00,15:00,0.0
5012022,15:00,16:00,0.0
5012022,16:00,17:00,0.0
5012022,17:00,18:00,0.0
5012022,18:00,19:00,0.0
5012022,19:00,20:00,0.0
5012022,20:00,21:00,0.0
5012022,21:00,22:00,0.0
5012022,22:00,23:00,0.0
5012022,23:00,00:00,0.0
6012022,00:00,01:00,0.0
6012022,01:00,02:00,0.0
6012022,02:00,03:00,0.0
6012022,03:00,04:00,0.0
6012022,04:00,05:00,0.0
6012022,05:00,06:00,0.0
6012022,06:00,07:00,0.0
6012022,07:00,08:00,0.0
6012022,08:00,09:00,0.0
6012022,09:00,10:00,0.0
6012022,10:00,11:00,0.0
6012022,11:00,12:00,0.0
6012022,12:00,13:00,0.0
6012022,13:00,14:00,0.0
6012022,14:00,15:00,0.0
6012022,15:00,16:00,0.0
6012022,16:00,17:00,0.0
6012022,17:00,18:00,0.0
6012022,18:00,19:00,0.0
6012022,19:00,20:00,0.0
6012022,20:00,21:00,0.0
6012022,21:00,22:00,0.0
6012022,22:00,23:00,0.0
6012022,23:00,00:00,0.0
7012022,00:00,01:00,0.0
7012022,01:00,02:00,0.0
7012022,02:00,03:00,0.0
